Supllier Name,Invoice Number,Part Number,Cost,Purchase date
Suplier X,001-1001,2341, $500.00 ,1/20/2014
Suplier X,001-1001,2341, $500.00 ,1/20/2014
Suplier X,001-1001,5467, $750.00 ,1/20/2014
Suplier X,001-1001,5467, $750.00 ,1/20/2014
Suplier Y,50-9501,7009, $250.00 ,1/30/2014
Suplier Y,50-9501,7009, $250.00 ,1/30/2014
Suplier Y,50-9501,6650, $125.00 ,2/3/2014
Suplier Y,50-9501,6650, $125.00 ,2/3/2014
Suplier Z,920-4803,3321, $615.00 ,2/3/2014
Suplier Z,920-4803,3321, $615.00 ,2/10/2014
Suplier Z,920-4803,3321, $615.00 ,2/17/2014
Suplier Z,920-4803,3321, $615.00 ,2/24/2014
